title,release_date,overview,tagline,genres,keywords,combined,processed,vector
Dante: A Replication,2020,"A young man attempts to discover the source of a mysterious phone call, leading him towards a terrifying discovery as his reality begins to unravel.",His world is about to change,"Drama, Science Fiction, Thriller","doppelgänger, phone call, short film","Dante: A Replication 2020 A young man attempts to discover the source of a mysterious phone call, leading him towards a terrifying discovery as his reality begins to unravel. Drama, Science Fiction, Thriller doppelgänger, phone call, short film","['dante', 'replication', 'young', 'man', 'attempt', 'discover', 'source', 'mysterious', 'phone', 'lead', 'terrifying', 'discovery', 'reality', 'begin', 'unravel', 'drama', 'science', 'fiction', 'thriller', 'doppelgänger', 'phone', 'short', 'film']","[-0.16255452  0.45124257  0.00066343 -0.03031282  0.16804935  0.09505945
  0.00434191 -0.1400158   0.02627555 -0.56466573  0.24277328 -0.40115032
 -0.36776915  0.36773473 -0.04650718 -0.28343192 -0.12982813  0.38362315
 -0.26057532 -0.3660894  -0.17472334  0.20548849 -0.09349761 -0.07016648
  0.12643917  0.0843204  -0.17404693 -0.01813504  0.52799994  0.02012171
  0.04399811  0.07871997  0.41271234 -0.6000259  -0.13282342  0.31251407
  0.17184076  0.25966847 -0.12414845  0.20696916  0.39403918 -0.620163
 -0.2343768  -0.37173507 -0.38490677 -0.4443227   0.0703792  -0.18064801
 -0.248388    0.1527688   0.13015324 -0.29883507  0.02704503  0.07539942
  0.06133158 -0.03366565 -0.0263832  -0.02333531 -0.16103974  0.25093058
  0.16923161 -0.24095589 -0.06138696  0.14558461  0.52108324  0.6414198
  0.16563733 -0.13113973  0.00199456  0.2966779  -0.37434855  0.16568376
 -0.02582491 -0.32734132  0.5206863   0.05607159  0.19494924 -0.05820415
 -0.05204146  0.06192192 -0.09876945  0.11192171  0.02676755  0.2186741
 -0.28355986 -0.11396601 -0.15133484 -0.07153784 -0.09459367 -0.06019352
 -0.436724   -0.23859988  0.02073597  0.04771817 -0.40001294  0.47825867
  0.0931094  -0.08661746 -0.08583976  0.4569669 ]"
1 Night in Paris,2004,"The exclusive Paris Hilton sex video, where she and Rick Salomon's private footage of one hot and steamy night together is exposed.",America's Hottest Hotel Heiress Gets Nasty On Camera!!!,Romance,"celebrity, home movie footage, sex tape, celebrity sextape","1 Night in Paris 2004 The exclusive Paris Hilton sex video, where she and Rick Salomon's private footage of one hot and steamy night together is exposed. Romance celebrity, home movie footage, sex tape, celebrity sextape","['night', 'paris', 'exclusive', 'paris', 'hilton', 'sex', 'video', 'rick', 'salomon', 'private', 'footage', 'hot', 'steamy', 'night', 'expose', 'romance', 'celebrity', 'home', 'movie', 'footage', 'sex', 'tape', 'celebrity', 'sextape']","[-0.16999228  0.23193474  0.0566076  -0.03658923  0.18829952 -0.10196475
 -0.11595312  0.01477864  0.174118   -0.5833351   0.11752629 -0.2576201
 -0.27149406  0.37315044  0.1052191  -0.2204815  -0.07686946  0.2637623
 -0.34545922 -0.45711693 -0.11340055  0.05681317 -0.12667574 -0.07611642
 -0.00850322  0.0137197  -0.1798789   0.0693567   0.4705437   0.05457746
 -0.01545186  0.15992175  0.2747498  -0.4509723  -0.17896521  0.23895933
  0.03596031  0.17793556 -0.21121788  0.10565332  0.5175844  -0.5881545
 -0.20516653 -0.3309081  -0.39259675 -0.13312921  0.04143983 -0.22791378
 -0.28309542  0.36201355  0.10314446 -0.12888749 -0.05684064  0.06958248
 -0.17154296 -0.06789759  0.00170805  0.03452863 -0.31800234  0.1331759
  0.25533217 -0.20011939  0.07608313  0.15551162  0.3709054   0.4218044
  0.22410537 -0.03707872  0.1516152   0.3384743  -0.1969596   0.33654127
 -0.03448745 -0.15852635  0.48555163 -0.08749991  0.35250822  0.04214578
 -0.02514747  0.12077552 -0.15482517  0.00762778 -0.14194663  0.14951836
 -0.2732189  -0.0820467  -0.17807685 -0.0160584   0.04995036 -0.0963617
 -0.2652413  -0.27197245  0.0139562  -0.0343707  -0.40538096  0.48629892
 -0.02198411 -0.06158527 -0.11661401  0.5499945 ]"
Discreet,2008,"Monique, a high class escort, has always been able to give her clients exactly what they want, while clean cut Thomas has always been exactly what everyone has expected. But tonight Thomas' curiosity is going to get the better of him while demanding of Monique the one thing she's reluctant to offer. Honesty, costs more.",Honesty costs more,"Drama, Romance","escort service, romance, sexual desire, escort girl","Discreet 2008 Monique, a high class escort, has always been able to give her clients exactly what they want, while clean cut Thomas has always been exactly what everyone has expected. But tonight Thomas' curiosity is going to get the better of him while demanding of Monique the one thing she's reluctant to offer. Honesty, costs more. Drama, Romance escort service, romance, sexual desire, escort girl","['discreet', 'monique', 'high', 'class', 'escort', 'able', 'client', 'exactly', 'want', 'clean', 'cut', 'thomas', 'exactly', 'expect', 'tonight', 'thomas', 'curiosity', 'go', 'well', 'demand', 'monique', 'thing', 'reluctant', 'offer', 'honesty', 'cost', 'drama', 'romance', 'escort', 'service', 'romance', 'sexual', 'desire', 'escort', 'girl']","[-2.4926268e-01  2.1178342e-01  7.9987183e-02 -5.5772841e-02
  2.2689860e-01 -9.5597617e-02 -8.2368448e-02 -4.9379397e-02
  1.1094567e-01 -5.4551435e-01  8.6813599e-02 -3.1002286e-01
 -2.6261929e-01  3.1614691e-01  1.0676475e-01 -3.4439331e-01
 -1.1006435e-01  1.9162220e-01 -3.5321981e-01 -4.5164683e-01
 -6.5851904e-02  4.2621087e-02 -1.6917555e-01 -4.3188259e-02
 -2.4616065e-02  6.2154911e-02 -1.4410645e-01  1.2254786e-01
  3.6308759e-01 -1.3922541e-02 -6.9307543e-02  1.2569091e-01
  3.1198335e-01 -4.5576462e-01 -1.4950693e-01  2.8602198e-01
 -9.9715588e-05  1.3754736e-01 -2.4746934e-01  1.1046331e-01
  4.3712255e-01 -5.6606895e-01 -1.8422462e-01 -2.7576026e-01
 -4.5876101e-01 -1.4166524e-01  3.9560806e-02 -2.6291591e-01
 -2.4881215e-01  3.5119271e-01  8.7752648e-02 -2.1056558e-01
 -2.0314408e-02  7.6856434e-02 -1.1333673e-01 -1.0362128e-01
 -1.1405141e-02  6.4182080e-02 -2.9879439e-01  1.6975816e-01
  3.0762720e-01 -1.1397041e-01  4.0471122e-02  1.0104216e-01
  4.4400609e-01  4.9245754e-01  1.9347030e-01 -8.6901851e-02
  1.8084992e-01  3.2260427e-01 -2.1407506e-01  2.5252679e-01
 -2.8239846e-02 -1.6196492e-01  4.3441218e-01 -1.3605917e-01
  3.7355286e-01 -1.9802439e-03 -3.3219170e-02  1.0669590e-01
 -1.6685246e-01 -5.5513185e-02 -3.6750235e-02  1.9161856e-01
 -3.4457061e-01 -9.5428884e-02 -1.7070840e-01 -3.1415708e-02
 -2.1977594e-02 -7.6808587e-02 -3.1130043e-01 -2.7710980e-01
  1.2682184e-02 -1.3096804e-02 -3.8256159e-01  4.1526622e-01
 -5.2423611e-02  1.1145642e-02 -7.5913742e-02  5.1265025e-01]"
Begin Again,2013,"Gretta, a budding songwriter, finds herself alone after her boyfriend Dave ditches her. Her life gains purpose when Dan, a record label executive, notices her talent.",You're only as strong as your next move.,"Comedy, Music, Romance, Drama","new york city, music recording, singer-songwriter, street musician, city life, recording session, street singer","Begin Again 2013 Gretta, a budding songwriter, finds herself alone after her boyfriend Dave ditches her. Her life gains purpose when Dan, a record label executive, notices her talent. Comedy, Music, Romance, Drama new york city, music recording, singer-songwriter, street musician, city life, recording session, street singer","['begin', 'gretta', 'bud', 'songwriter', 'find', 'boyfriend', 'dave', 'ditch', 'life', 'gain', 'purpose', 'dan', 'record', 'label', 'executive', 'notice', 'talent', 'comedy', 'music', 'romance', 'drama', 'new', 'york', 'city', 'music', 'recording', 'singer', 'songwriter', 'street', 'musician', 'city', 'life', 'recording', 'session', 'street', 'singer']","[-0.25726345  0.3502119   0.21750912 -0.07316688  0.31823245 -0.14358933
 -0.10073964 -0.04699057  0.1130942  -0.6159756   0.17498498 -0.3182089
 -0.17983526  0.38734543  0.0488442  -0.43437642 -0.15653509  0.36972842
 -0.38688976 -0.5436897  -0.24656299  0.05017523 -0.19682276 -0.0951356
  0.01872322  0.00164046 -0.08213881  0.13943596  0.3211048   0.18544485
  0.00441557  0.38141412  0.26171502 -0.5901607  -0.2188686   0.29891983
  0.09783134  0.13781968 -0.19373886  0.05946521  0.28482488 -0.5772168
 -0.18099482 -0.23433995 -0.41561186 -0.0903275   0.12542224 -0.18564549
 -0.25576344  0.47711203 -0.03293328 -0.19132459 -0.00390086  0.20446783
 -0.2376838  -0.1728167   0.00378694  0.06744111 -0.30822146  0.12922226
  0.2331774  -0.22189559  0.17136458  0.09289148  0.4224324   0.5746798
  0.34943372 -0.01567365  0.09605094  0.3709501  -0.3456504   0.3352928
  0.01397952 -0.16842505  0.48465696 -0.04379378  0.30335605  0.10510403
 -0.06147719  0.12658185 -0.01810009 -0.08658033 -0.06016667  0.3146943
 -0.30961257 -0.17886776 -0.2012697  -0.04732832 -0.06432538 -0.01119438
 -0.29729822 -0.2862307   0.00571859 -0.05895602 -0.45237154  0.41561273
 -0.07798757  0.04683365 -0.12015608  0.45834535]"
49:5ive,2016,"A tight-knit family is suddenly torn apart when their sister is brutally murdered. When the man responsible is found innocent of the crime, two brothers find themselves facing an impossible decision. Observe the law and do nothing, letting the killer go free or act on their own and risk everything to get justice.",Not all monsters live in the dark.,"Thriller, Drama","brother, vigilante","49:5ive 2016 A tight-knit family is suddenly torn apart when their sister is brutally murdered. When the man responsible is found innocent of the crime, two brothers find themselves facing an impossible decision. Observe the law and do nothing, letting the killer go free or act on their own and risk everything to get justice. Thriller, Drama brother, vigilante","['tight', 'knit', 'family', 'suddenly', 'tear', 'apart', 'sister', 'brutally', 'murder', 'man', 'responsible', 'find', 'innocent', 'crime', 'brother', 'find', 'face', 'impossible', 'decision', 'observe', 'law', 'let', 'killer', 'free', 'act', 'risk', 'justice', 'thriller', 'drama', 'brother', 'vigilante']","[-0.22236957  0.23376323  0.0108848   0.00212284  0.12197194  0.15223975
 -0.03486746 -0.16048032 -0.05513768 -0.5956337   0.04028451 -0.36691755
 -0.30775055  0.35889703  0.05734878 -0.3475225  -0.14863095  0.17892988
 -0.24874529 -0.4429141  -0.01954301  0.06421665 -0.00517157 -0.09719478
  0.08164644  0.0244148  -0.09536194  0.06918996  0.4182285  -0.02179515
 -0.11272469  0.07308688  0.3685592  -0.54771024 -0.08358014  0.3998364
 -0.01770723  0.18896776 -0.25355896  0.14317308  0.41112894 -0.46068403
 -0.2493921  -0.37327966 -0.51959276 -0.43526915  0.02787312 -0.3167487
 -0.218124    0.1676055   0.08522468 -0.32359564  0.0089168  -0.09385254
  0.10281717 -0.12238993  0.07634013  0.01974483 -0.16058606  0.26262805
  0.2960069  -0.11560854 -0.06375636  0.17395376  0.44187227  0.542618
  0.28953147 -0.15035714  0.03934918  0.13482645 -0.25391838  0.26690006
 -0.07187596 -0.16144927  0.52407897 -0.03930299  0.34387055 -0.02542481
 -0.01014458  0.1678798  -0.1472992   0.01838706  0.11111542  0.26574767
 -0.38370055 -0.17768644 -0.19253537 -0.11558451 -0.11622009 -0.10428317
 -0.47086352 -0.20205703  0.06602819 -0.0458249  -0.25847757  0.44731167
 -0.04256997 -0.03960439 -0.04965271  0.4378811 ]"
The Nice Guys,2016,A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.,They're not that nice.,"Comedy, Crime, Action","daughter, pornography, detective, 1970s, investigation, alcoholism, private investigator, conspiracy, whodunit, alcoholic, buddy cop, private eye, neo-noir, father daughter relationship","The Nice Guys 2016 A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy. Comedy, Crime, Action daughter, pornography, detective, 1970s, investigation, alcoholism, private investigator, conspiracy, whodunit, alcoholic, buddy cop, private eye, neo-noir, father daughter relationship","['nice', 'guys', 'private', 'eye', 'investigate', 'apparent', 'suicide', 'fade', 'porn', 'star', 'los', 'angeles', 'uncover', 'conspiracy', 'comedy', 'crime', 'action', 'daughter', 'pornography', 'detective', 'investigation', 'alcoholism', 'private', 'investigator', 'conspiracy', 'whodunit', 'alcoholic', 'buddy', 'cop', 'private', 'eye', 'neo', 'noir', 'father', 'daughter', 'relationship']","[-0.15365268  0.35918236  0.04389099 -0.02609594  0.18262848  0.04543472
  0.02059714 -0.07926347 -0.03574293 -0.6655634   0.18867399 -0.29273754
 -0.38347903  0.3295581  -0.02296849 -0.36376393 -0.11250769  0.39751372
 -0.20174158 -0.3937753  -0.19392246  0.18169594  0.03859978 -0.04890756
  0.2058057  -0.11555656 -0.20509396  0.06163569  0.4066318   0.08256058
  0.0008614   0.2664901   0.35697424 -0.5941836  -0.15627053  0.2511215
  0.03664229  0.27244112 -0.22528036  0.04504046  0.53356624 -0.5186874
 -0.21311374 -0.38735697 -0.3696197  -0.36155978 -0.04755941 -0.2042303
 -0.28372487  0.1848196   0.13996835 -0.252395    0.00797819 -0.08346102
 -0.03785796 -0.08411911  0.0274149  -0.10849723 -0.15587312  0.20742273
  0.1359742  -0.25702614  0.10533178  0.15874986  0.38930073  0.51420456
  0.34301704 -0.11692142  0.01346028  0.20758303 -0.27010116  0.22531928
 -0.0364065  -0.25536892  0.5315215   0.07598745  0.18755761 -0.03841462
  0.02213542  0.15463628 -0.11335959  0.0281192   0.00676862  0.2677081
 -0.2574137  -0.21758358 -0.2222081  -0.12371074 -0.0009389  -0.09848841
 -0.42013258 -0.14940196  0.07864379 -0.01536114 -0.2830075   0.53516406
  0.08546446 -0.11277289 -0.01339245  0.42435586]"
"Sorry, Haters",2005,"Against the anxieties and fears of post-9/11 America, an Arab cab driver picks up a troubled professional woman with unexpected results.",The dust has finally settled... for most of us,Drama,"war on terror, 9/11","Sorry, Haters 2005 Against the anxieties and fears of post-9/11 America, an Arab cab driver picks up a troubled professional woman with unexpected results. Drama war on terror, 9/11","['sorry', 'haters', 'anxiety', 'fear', 'america', 'arab', 'cab', 'driver', 'pick', 'troubled', 'professional', 'woman', 'unexpected', 'result', 'drama', 'war', 'terror']","[-0.25357503  0.26074293  0.10030212 -0.03219226  0.2542554  -0.07301722
  0.02675162 -0.00345219  0.14984635 -0.4808537   0.1370876  -0.32729363
 -0.36790907  0.37597504 -0.02887606 -0.33264226 -0.0236592   0.18698126
 -0.27539563 -0.34106556 -0.1202439   0.12034356 -0.11748983 -0.03265086
  0.13137348  0.10182308 -0.07547303  0.04060892  0.3155638  -0.0166216
 -0.03007297  0.10118195  0.3506422  -0.574985   -0.1661572   0.25959605
  0.01967416  0.12943876 -0.27480295  0.12401239  0.39096394 -0.49783966
 -0.23327108 -0.25196254 -0.46549064 -0.16026247  0.00257536 -0.19603059
 -0.16019326  0.19024748  0.00144608 -0.31800893  0.10186932  0.06086392
 -0.04195573 -0.00533126 -0.01220136  0.0353921  -0.1998151   0.20454723
  0.18023486 -0.09411285 -0.09134347  0.03407861  0.42400697  0.5485657
  0.16267014 -0.20101433  0.20013353  0.28100502 -0.19492462  0.27073455
 -0.01059823 -0.17405379  0.42248225  0.03144975  0.30473202 -0.08267889
 -0.03130177  0.03189887 -0.16556902  0.02420974  0.02273352  0.17062816
 -0.2176505  -0.1904597  -0.19699636 -0.17963149 -0.1524738  -0.11338859
 -0.2715055  -0.214349   -0.08248308  0.08613698 -0.45448327  0.35596773
  0.03663807  0.07579761 -0.04222191  0.45485377]"
Sheriff of Wichita,1949,"It has been almost five years since the outlaws have stolen the army payroll from Lt. Raymond D'Arcy. While claiming that he gave the money to Major Bishop, neither the money or Bishop have ever been found and Raymond was convicted of the theft. Now he is at the abandoned fort, an escaped convict with a letter, looking to find the truth about the robbery. Members of his old command are also there and Rocky shows up to return Raymond to prison.",Ridin' into Trouble!,Western,"prison, escape, fort","Sheriff of Wichita 1949 It has been almost five years since the outlaws have stolen the army payroll from Lt. Raymond D'Arcy. While claiming that he gave the money to Major Bishop, neither the money or Bishop have ever been found and Raymond was convicted of the theft. Now he is at the abandoned fort, an escaped convict with a letter, looking to find the truth about the robbery. Members of his old command are also there and Rocky shows up to return Raymond to prison. Western prison, escape, fort","['sheriff', 'wichita', 'year', 'outlaw', 'steal', 'army', 'payroll', 'lt', 'raymond', 'claim', 'give', 'money', 'major', 'bishop', 'money', 'bishop', 'find', 'raymond', 'convict', 'theft', 'abandon', 'fort', 'escaped', 'convict', 'letter', 'look', 'find', 'truth', 'robbery', 'member', 'old', 'command', 'rocky', 'show', 'return', 'raymond', 'prison', 'western', 'prison', 'escape', 'fort']","[-0.2655453   0.20221403  0.11503564 -0.07660109  0.09085556  0.12040102
 -0.02632198 -0.15041862  0.13403352 -0.4743528   0.06139783 -0.35938713
 -0.26600602  0.34199026  0.04685381 -0.3610684  -0.07003217  0.0382188
 -0.20306385 -0.42358598 -0.02443384 -0.01448805 -0.0408739  -0.11365293
  0.0916442   0.02609438 -0.07247201  0.04551631  0.4308067  -0.0348909
 -0.0740665   0.15895942  0.37621364 -0.40883943 -0.13953216  0.38628954
 -0.08014403  0.14293747 -0.32469234  0.10772765  0.44984683 -0.41385743
 -0.23382087 -0.3903968  -0.47556132 -0.31924298 -0.0333697  -0.2488811
 -0.15612218  0.17859408  0.22245295 -0.28541702  0.02859394  0.0208545
  0.10510277 -0.00713685  0.06194081  0.04182606 -0.18645972  0.20523006
  0.45330232 -0.11181843 -0.10878824  0.20842075  0.4168992   0.5161464
  0.21603689 -0.07797498  0.13722065  0.20207456 -0.21111841  0.21394923
 -0.08176992 -0.24272479  0.4947607  -0.14408588  0.37860695 -0.06803779
  0.02862559  0.2077753  -0.11233909  0.00239434  0.03233233  0.18781962
 -0.34127948 -0.1144241  -0.16642646 -0.084089   -0.12772802 -0.11188675
 -0.48818943 -0.21761476  0.06818929  0.0685145  -0.22147474  0.42548746
 -0.07641849  0.03932152 -0.04644298  0.4713485 ]"
Prada Paradoxe,2022,"Emma Watson breaks the mould of the muse to be both in front of and behind the lens, writing her own script and narrating her own story of being a living paradox.","Never The Same, Always Myself","Fantasy, TV Movie","commercial, advertising, perfume, prada","Prada Paradoxe 2022 Emma Watson breaks the mould of the muse to be both in front of and behind the lens, writing her own script and narrating her own story of being a living paradox. Fantasy, TV Movie commercial, advertising, perfume, prada","['prada', 'paradoxe', 'emma', 'watson', 'break', 'mould', 'muse', 'lens', 'write', 'script', 'narrate', 'story', 'live', 'paradox', 'fantasy', 'tv', 'movie', 'commercial', 'advertising', 'perfume', 'prada']","[-0.20074706  0.32898766 -0.01420416 -0.01729472  0.19592857 -0.05566661
 -0.05701364  0.09351605  0.16368616 -0.3726737   0.23212299 -0.37213835
 -0.37947735  0.37708342  0.04505989 -0.27458397 -0.03461923  0.26096728
 -0.26400095 -0.34875342 -0.2798435   0.20349576 -0.19873415 -0.03945327
 -0.01718941  0.00801308 -0.15499629 -0.01141928  0.41857362  0.11846884
  0.08395692  0.01971943  0.33282262 -0.53985703 -0.18698606  0.21416442
  0.06977836  0.24222352 -0.17796944  0.20189106  0.3727721  -0.53658134
 -0.19549781 -0.23372684 -0.47855076 -0.16979845 -0.00686926 -0.0983445
 -0.1921721   0.23413584  0.00621063 -0.17184445  0.09413572  0.2457257
 -0.07520685  0.08441331 -0.00280296  0.08171374 -0.24114089  0.19119835
  0.11936125 -0.18952608 -0.03707818  0.08841282  0.382961    0.4031907
  0.06341418 -0.16476451  0.18534969  0.3935598  -0.2627208   0.28700027
  0.0495886  -0.32798395  0.44918942 -0.00890976  0.24891485 -0.06389996
 -0.03334223 -0.02917855 -0.12004618  0.03553379 -0.0216149   0.03705693
 -0.14515483 -0.03668772 -0.26253247 -0.04489153 -0.03684032 -0.12819728
 -0.24576074 -0.22739637 -0.08581074  0.09692469 -0.34463385  0.44823068
  0.14501342 -0.02346448 -0.16176169  0.44305795]"
The 5th Wave,2016,16-year-old Cassie Sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the Stone Age.,Protect Your Own,"Science Fiction, Adventure, Action","based on novel or book, dystopia, alien, alien invasion, human subjugation, environmental disaster, based on young adult novel","The 5th Wave 2016 16-year-old Cassie Sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the Stone Age. Science Fiction, Adventure, Action based on novel or book, dystopia, alien, alien invasion, human subjugation, environmental disaster, based on young adult novel","['wave', 'year', 'old', 'cassie', 'sullivan', 'try', 'survive', 'world', 'devastate', 'wave', 'alien', 'invasion', 'decimate', 'population', 'knock', 'mankind', 'stone', 'age', 'science', 'fiction', 'adventure', 'action', 'base', 'novel', 'book', 'dystopia', 'alien', 'alien', 'invasion', 'human', 'subjugation', 'environmental', 'disaster', 'base', 'young', 'adult', 'novel']","[-0.2964906   0.58141637  0.10972033 -0.08207824  0.18796849  0.05289262
  0.13139376 -0.01814507  0.09702344 -0.6191135   0.31785586 -0.49960843
 -0.37144983  0.3858269  -0.14662416 -0.42353863 -0.19268179  0.45862013
 -0.36638135 -0.28648883 -0.25303066  0.2655122  -0.16433239 -0.1864483
  0.18172306  0.15061735 -0.20588335 -0.094991    0.3804592   0.02638285
  0.02042654  0.16054226  0.52777827 -0.65530986 -0.14603135  0.32483742
  0.19013694  0.37756148 -0.05241986  0.2576616   0.38822088 -0.65632075
 -0.16471009 -0.32222837 -0.26592073 -0.44304213  0.03197568 -0.13867228
 -0.2819848   0.11228828  0.07839739 -0.28969407  0.12103157  0.11538343
  0.13354893 -0.01628773 -0.05891572 -0.09361433 -0.17090985  0.1875118
  0.13869093 -0.21512082 -0.00631518  0.11890191  0.58876586  0.6228431
  0.13213524 -0.11156891  0.03892606  0.3261222  -0.3442906   0.08718893
 -0.00209646 -0.39719707  0.5310942   0.04027619  0.16878657 -0.03442122
 -0.08784892 -0.07886322 -0.17595072  0.1338627   0.06062207  0.2044565
 -0.21156998 -0.16852424 -0.19470319 -0.10328253 -0.12735768 -0.02713786
 -0.41138142 -0.23716757  0.01202245  0.09884987 -0.4358189   0.45315644
  0.18828455 -0.03800466 -0.0091157   0.52439195]"
Official Ministerial Service of Jayden A. Watkins,2023,"Witness a life-changing worship experience from the comfort of your home as the next generation arises and as teenager Jayden Watkins delivers a life-changing initial sermon to the world. Get ready for a hand-clapping, convicting, and powerful move of God at Jayden Watkins's ministerial licensing service. Special guests include Pastor Rev. Charles W. Burwell, Rev. Ann Jones, Big Ruin Creek Next Generation Praise Team, Rev. Anthony Vickers, Rev. Cora Vass Boyd, Spring Street Youth and Young Adult Choir, Rev. Gertrude Harris, Deacon Leon Foster, Praise Angles of New Grassy Creek MBC, Daughters of Miriam (Kingdom Church of Deliverance), Jaydah Watkins, Singers Of Faith and many more.",Witness a life-changing worship experience!,Documentary,"minister, bible, gospel, god, church, young leader, jesus christ, christian, religious leader, sing","Official Ministerial Service of Jayden A. Watkins 2023 Witness a life-changing worship experience from the comfort of your home as the next generation arises and as teenager Jayden Watkins delivers a life-changing initial sermon to the world. Get ready for a hand-clapping, convicting, and powerful move of God at Jayden Watkins's ministerial licensing service. Special guests include Pastor Rev. Charles W. Burwell, Rev. Ann Jones, Big Ruin Creek Next Generation Praise Team, Rev. Anthony Vickers, Rev. Cora Vass Boyd, Spring Street Youth and Young Adult Choir, Rev. Gertrude Harris, Deacon Leon Foster, Praise Angles of New Grassy Creek MBC, Daughters of Miriam (Kingdom Church of Deliverance), Jaydah Watkins, Singers Of Faith and many more. Documentary minister, bible, gospel, god, church, young leader, jesus christ, christian, religious leader, sing","['official', 'ministerial', 'service', 'jayden', 'watkins', 'witness', 'life', 'change', 'worship', 'experience', 'comfort', 'home', 'generation', 'arise', 'teenager', 'jayden', 'watkins', 'deliver', 'life', 'change', 'initial', 'sermon', 'world', 'ready', 'hand', 'clap', 'convicting', 'powerful', 'god', 'jayden', 'watkins', 'ministerial', 'licensing', 'service', 'special', 'guest', 'include', 'pastor', 'charles', 'burwell', 'ann', 'jones', 'big', 'ruin', 'creek', 'generation', 'praise', 'team', 'anthony', 'vickers', 'cora', 'vass', 'boyd', 'spring', 'street', 'youth', 'young', 'adult', 'choir', 'gertrude', 'harris', 'deacon', 'leon', 'foster', 'praise', 'angle', 'new', 'grassy', 'creek', 'mbc', 'daughters', 'miriam', 'kingdom', 'church', 'deliverance', 'jaydah', 'watkins', 'singer', 'faith', 'documentary', 'minister', 'bible', 'gospel', 'god', 'church', 'young', 'leader', 'jesus', 'christ', 'christian', 'religious', 'leader', 'sing']","[-0.22119679  0.23053302  0.08350121 -0.06131402  0.24860825 -0.02200294
 -0.00739375 -0.02182696  0.12836583 -0.45026487  0.13816917 -0.30047464
 -0.2901451   0.34327936  0.05163712 -0.34219342 -0.08084757  0.17056361
 -0.3421483  -0.4214314  -0.16032057  0.07501685 -0.19421032 -0.05287253
 -0.01833449  0.03504023 -0.11035635  0.05097877  0.29355904 -0.00498308
 -0.03321199  0.08926038  0.31089264 -0.4932412  -0.13924113  0.24176139
 -0.00282238  0.17516965 -0.21223743  0.11399831  0.36551905 -0.5167999
 -0.15265746 -0.22273226 -0.43425596 -0.17348753  0.04889655 -0.20609844
 -0.20138282  0.26775676  0.05120384 -0.23168647  0.07031783  0.14242624
 -0.0365845  -0.05139982 -0.03864117  0.10189272 -0.24845985  0.15806803
  0.23338383 -0.10757452 -0.01575908  0.05789735  0.43471742  0.466322
  0.18609674 -0.10084605  0.19576661  0.35206345 -0.19479513  0.2747281
  0.01451238 -0.17767774  0.43169734 -0.06056299  0.29406625 -0.03077908
 -0.07121766  0.06486967 -0.0736485  -0.01768557  0.01282956  0.16588613
 -0.2375012  -0.08862309 -0.19092499 -0.09683802 -0.11385478 -0.09945599
 -0.30519298 -0.22471653 -0.05340274  0.03746838 -0.40143216  0.3841785
  0.01017189  0.02444859 -0.07805412  0.47198617]"
